0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/images/er_ctrip_wechat.jpg HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:18 +0800] "GET /group3/queryInfo/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:18 +0800] "GET /group3/queryInfo/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:34 +0800] "GET /group3/userweb/NormalQuestion HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:37 +0800] "GET /group3/main/NotIndex HTTP/1.1" 200 28507
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:45 +0800] "GET /group3/userweb/NormalQuestion HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:46 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:47 +0800] "GET /group3/purchase/zcfc HTTP/1.1" 200 20363
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:47 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:47 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:48 +0800] "GET /group3/purchase/zcfc HTTP/1.1" 200 20363
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:48 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:48 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
